Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
Incendio en parque,Se registró un incendio forestal controlado,Ambiente,-34.6037,-58.3816,12/03/2024
Corte de luz,Falla eléctrica afectó a varios barrios,Infraestructura,-34.61,-58.445,25/04/2024
Inundación repentina,Fuertes lluvias causaron anegamientos,Clima,-34.59,-58.42,18/02/2024
Protesta social,Manifestantes cortaron una avenida principal,Social,-34.62,-58.4,10/05/2024
Accidente de tránsito,Choque múltiple sin heridos graves,Transporte,-34.599,-58.38,03/01/2024
Fuga de gas,Evacuación preventiva por fuerte olor a gas,Emergencia,-34.57,-58.43,08/06/2024
Alerta meteorológica,Pronóstico de tormentas fuertes zona sur,Clima,-34.7,-58.3,22/11/2024
Obra pública,Comienzan trabajos de repavimentación,Infraestructura,-34.65,-58.37,14/07/2024
Desalojo,Desalojo en un predio tomado,Social,-34.58,-58.46,09/09/2024
Hallazgo policial,Se encontró vehículo robado,Seguridad,-34.63,-58.39,27/10/2024
Corte de agua,Reparación de cañería principal,Infraestructura,-34.615,-58.382,01/12/2024
Evento cultural,Festival callejero en plaza central,Cultura,-34.598,-58.41,17/01/2024
Sismo leve,Movimiento leve sin daños reportados,Clima,-32.9,-68.85,30/08/2024
Rescate animal,Bomberos rescataron a un perro atrapado,Emergencia,-34.602,-58.39,04/04/2024
Operativo policial,Megaoperativo en barrio del oeste,Seguridad,-34.64,-58.5,19/02/2024
